ds,yhat
2019-07-01,66799.48369533784
2019-07-02,64274.60427211982
2019-07-03,62980.63099092647
2019-07-04,61142.18561467617
2019-07-05,58818.30956965366
2019-07-06,59064.713434587204
2019-07-07,66343.70336680264
2019-07-08,66903.04613784385
2019-07-09,64230.33290498793
2019-07-10,62745.42658073845
2019-07-11,60678.49017832303
2019-07-12,58095.162317038106
2019-07-13,58058.615694710425
2019-07-14,65039.26732694533
2019-07-15,65293.40841021399
2019-07-16,62317.32069305029
2019-07-17,60539.47135274136
2019-07-18,58198.29106337971
2019-07-19,55367.108707004445
2019-07-20,55115.98555163664
2019-07-21,61921.22425625005
2019-07-22,62043.82647167368
2019-07-23,58983.47101096433
2019-07-24,57170.6087025583
2019-07-25,54844.18163198162
2019-07-26,52076.54205553421
2019-07-27,51935.31439727629
2019-07-28,58892.97500996773
2019-07-29,59205.42153986929
2019-07-30,56366.10074058717
2019-07-31,54798.286609603216
2019-08-01,52733.011321242884
2019-08-02,50234.21816422717
2019-08-03,50360.87314929541
2019-08-04,57576.80274612838
2019-08-05,58129.522098807174
2019-08-06,55504.61502274535
2019-08-07,54118.250280509325
2019-08-08,52195.32961478868
2019-08-09,49794.83033541813
2019-08-10,49972.07348688481
2019-08-11,57188.680353539705
2019-08-12,57691.47802681741
2019-08-13,54966.91289627507
2019-08-14,53433.55538051257
2019-08-15,51320.19149058632
2019-08-16,48691.06543538993
2019-08-17,48608.006967977686
2019-08-18,55540.21008984638
2019-08-19,55742.92877663808
2019-08-20,52711.65446619166
2019-08-21,50874.3652776832
2019-08-22,48469.349791530374
2019-08-23,45570.17721400602
2019-08-24,45247.555400163736
2019-08-25,51978.85106388141
2019-08-26,52026.54526575652
2019-08-27,48892.1958490951
2019-08-28,47008.50302459932
2019-08-29,44616.98628735095
2019-08-30,41792.848811349606
2019-08-31,41606.773958241014
2019-09-01,48534.43014122925
2019-09-02,48834.957739170924
2019-09-03,46005.0090089099
2019-09-04,44470.93516536938
2019-09-05,42466.62553010583
2019-09-06,40058.570447206985
2019-09-07,40307.88714338107
2019-09-08,47680.078379867366
2019-09-09,48423.79057078192
2019-09-10,46025.134742514376
2019-09-11,44900.15666706428
2019-09-12,43272.95316910042
2019-09-13,41200.998570411684
2019-09-14,41737.4130752291
2019-09-15,49340.93621609086
2019-09-16,50254.86601814461
2019-09-17,47961.52224631979
2019-09-18,46874.81613165066
2019-09-19,45218.420847716676
2019-09-20,43051.105253893285
2019-09-21,43428.96258179835
2019-09-22,50815.29837970327
2019-09-23,51459.44085335095
2019-09-24,48851.035661454196
2019-09-25,47412.412360735456
2019-09-26,45376.52253757125
