,검색일자,국가,대륙,모바일검색량,PC검색량,총검색량
0,2019-07,대만,아시아,190893,32201,223094
1,2019-07,라오스,아시아,3737,174,3911
2,2019-07,러시아,아시아,143038,19812,162850
3,2019-07,몽골,아시아,54233,12197,66430
4,2019-07,미국,오세아니아,38362,15141,53503
5,2019-07,베트남,아시아,125437,39347,164784
6,2019-07,스위스,유럽,7331,959,8290
7,2019-07,싱가포르,아시아,138178,36723,174901
8,2019-07,인도네시아,아시아,13128,1184,14312
9,2019-07,일본,아시아,488805,143337,632142
10,2019-07,조지아,유럽,17158,912,18070
11,2019-07,중국,아시아,122148,30192,152340
12,2019-07,태국,아시아,75661,14040,89701
13,2019-07,필리핀,아시아,4157,200,4357
14,2019-08,대만,아시아,189568,30147,219715
15,2019-08,러시아,아시아,115806,14836,130642
16,2019-08,러시아,유럽,23011,3722,26733
17,2019-08,몽골,아시아,46369,9030,55399
18,2019-08,미국,아메리카,5363,350,5713
19,2019-08,미국,오세아니아,43054,15302,58356
20,2019-08,베트남,아시아,138948,40354,179302
21,2019-08,스페인,유럽,6954,1058,8012
22,2019-08,싱가포르,아시아,104487,29625,134112
23,2019-08,인도네시아,아시아,28746,3333,32079
24,2019-08,일본,아시아,186361,60518,246879
25,2019-08,조지아,유럽,11975,1457,13432
26,2019-08,중국,아시아,104866,25137,130003
27,2019-08,태국,아시아,80361,14009,94370
28,2019-09,대만,아시아,182522,26452,208974
29,2019-09,라오스,아시아,1533,214,1747
30,2019-09,러시아,아시아,81633,13006,94639
31,2019-09,미국,오세아니아,36528,12329,48857
32,2019-09,베트남,아시아,121759,29335,151094
33,2019-09,스페인,유럽,13785,1747,15532
34,2019-09,싱가포르,아시아,84589,22988,107577
35,2019-09,인도네시아,아시아,37768,3829,41597
36,2019-09,일본,아시아,95799,30272,126071
37,2019-09,조지아,유럽,27750,2569,30319
38,2019-09,중국,아시아,64640,16198,80838
39,2019-09,태국,아시아,74645,12209,86854
40,2019-09,터키,유럽,23469,4195,27664
41,2019-09,피지,오세아니아,268543,42786,311329
42,2019-10,대만,아시아,218430,28726,247156
43,2019-10,러시아,아시아,80580,11418,91998
44,2019-10,미국,오세아니아,58566,16422,74988
45,2019-10,베트남,아시아,167543,39482,207025
46,2019-10,스페인,유럽,59338,8088,67426
47,2019-10,싱가포르,아시아,95392,23304,118696
48,2019-10,이탈리아,유럽,4630,513,5143
49,2019-10,인도네시아,아시아,14027,1415,15442
50,2019-10,일본,아시아,86731,24639,111370
51,2019-10,중국,아시아,62352,14844,77196
52,2019-10,태국,아시아,78232,12990,91222
53,2019-10,터키,유럽,25354,3954,29308
54,2019-10,피지,오세아니아,12527,309,12836
55,2019-11,대만,아시아,262629,31202,293831
56,2019-11,라오스,아시아,12249,1430,13679
57,2019-11,러시아,아시아,85133,9462,94595
58,2019-11,미국,아메리카,2799,318,3117
59,2019-11,미국,오세아니아,72820,17523,90343
60,2019-11,베트남,아시아,225547,48134,273681
61,2019-11,스위스,유럽,1683,508,2191
62,2019-11,스페인,유럽,50069,6743,56812
63,2019-11,싱가포르,아시아,102854,23387,126241
64,2019-11,인도네시아,아시아,16148,1742,17890
65,2019-11,일본,아시아,99404,25787,125191
66,2019-11,조지아,유럽,5077,306,5383
67,2019-11,중국,아시아,67856,14749,82605
68,2019-11,태국,아시아,85844,13840,99684
69,2019-11,포르투갈,유럽,1431,118,1549
70,2019-12,뉴질랜드,오세아니아,10636,902,11538
71,2019-12,대만,아시아,303447,35287,338734
72,2019-12,러시아,아시아,58317,6135,64452
73,2019-12,몰타,유럽,2632,196,2828
74,2019-12,미국,아메리카,1730,184,1914
75,2019-12,미국,오세아니아,86806,19726,106532
76,2019-12,베트남,아시아,242968,57549,300517
77,2019-12,스위스,유럽,2848,344,3192
78,2019-12,스페인,유럽,12494,1441,13935
79,2019-12,싱가포르,아시아,83762,24035,107797
80,2019-12,아랍에미리트,아시아,15984,705,16689
81,2019-12,일본,아시아,186138,40231,226369
82,2019-12,중국,아시아,61462,12635,74097
83,2019-12,태국,아시아,69076,14522,83598
84,2019-12,포르투갈,유럽,1769,131,1900
85,2020-01,대만,아시아,299135,32401,331536
86,2020-01,라오스,아시아,12912,1047,13959
87,2020-01,러시아,아시아,110241,12877,123118
