검색일자,국가,대륙,총검색량
2019-07,괌,오세아니아,53503
2019-07,대만,아시아,223094
2019-07,라오스,아시아,3911
2019-07,러시아,아시아,162850
2019-07,몽골,아시아,66430
2019-07,베트남,아시아,164784
2019-07,스위스,유럽,8290
2019-07,싱가포르,아시아,174901
2019-07,인도네시아,아시아,14312
2019-07,일본,아시아,632142
2019-07,조지아,유럽,18070
2019-07,중국,아시아,152340
2019-07,태국,아시아,89701
2019-07,필리핀,아시아,4357
2019-08,괌,오세아니아,58356
2019-08,대만,아시아,219715
2019-08,러시아,아시아,130642
2019-08,러시아,유럽,26733
2019-08,몽골,아시아,55399
2019-08,미국,북아메리카,5713
2019-08,베트남,아시아,179302
2019-08,스페인,유럽,8012
2019-08,싱가포르,아시아,134112
2019-08,인도네시아,아시아,32079
2019-08,일본,아시아,246879
2019-08,조지아,유럽,13432
2019-08,중국,아시아,130003
2019-08,태국,아시아,94370
2019-09,괌,오세아니아,48857
2019-09,대만,아시아,208974
2019-09,라오스,아시아,1747
2019-09,러시아,아시아,94639
2019-09,베트남,아시아,151094
2019-09,스페인,유럽,15532
2019-09,싱가포르,아시아,107577
2019-09,인도네시아,아시아,41597
2019-09,일본,아시아,126071
2019-09,조지아,유럽,30319
2019-09,중국,아시아,80838
2019-09,태국,아시아,86854
2019-09,터키,유럽,27664
2019-09,피지,오세아니아,311329
2019-10,괌,오세아니아,74988
2019-10,대만,아시아,247156
2019-10,러시아,아시아,91998
2019-10,베트남,아시아,207025
2019-10,스페인,유럽,67426
2019-10,싱가포르,아시아,118696
2019-10,이탈리아,유럽,5143
2019-10,인도네시아,아시아,15442
2019-10,일본,아시아,111370
2019-10,중국,아시아,77196
2019-10,태국,아시아,91222
2019-10,터키,유럽,29308
2019-10,피지,오세아니아,12836
2019-11,괌,오세아니아,90343
2019-11,대만,아시아,293831
2019-11,라오스,아시아,13679
2019-11,러시아,아시아,94595
2019-11,미국,북아메리카,3117
2019-11,베트남,아시아,273681
2019-11,스위스,유럽,2191
2019-11,스페인,유럽,56812
2019-11,싱가포르,아시아,126241
2019-11,인도네시아,아시아,17890
2019-11,일본,아시아,125191
2019-11,조지아,유럽,5383
2019-11,중국,아시아,82605
2019-11,태국,아시아,99684
2019-11,포르투갈,유럽,1549
