연도,월,국가,대륙,검색량
2025,1,일본,아시아,95857
2025,1,대만,아시아,199116
2025,1,중국,아시아,93500
2025,1,뉴질랜드,오세아니아,55149
2025,1,베트남,아시아,126278
2025,1,싱가포르,아시아,109947
2025,1,브라질,남아메리카,-12329
2025,1,볼리비아,아프리카,4565
2025,1,스위스,유럽,120953
2025,1,스페인,유럽,84716
2025,1,벨기에,유럽,38719
2025,1,태국,아시아,85637
2025,1,필리핀,아시아,84716
2025,1,캐나다,북아메리카,36588
2025,1,캄보디아,아시아,-15813
2025,1,카타르,아시아,-18457
2025,1,조지아,유럽,95857
2025,1,인도네시아,아시아,95857
2025,1,인도,아시아,29934
2025,1,아랍에미리트,아시아,53614
2025,1,이스라엘,아시아,49870
2025,1,콜롬비아,남아메리카,4565
2025,1,쿠바,남아메리카,-6248
2025,1,요르단,아시아,-30934
2025,1,아르헨티나,남아메리카,50853
2025,1,이집트,아프리카,36588
2025,1,이탈리아,유럽,73950
2025,1,탄자니아,아프리카,29934
2025,1,오스트리아,유럽,10728
2025,1,영국,유럽,5573
2025,1,에스토니아,유럽,-11612
2025,1,체코,유럽,23251
2025,1,케냐,아프리카,4565
2025,1,네팔,아시아,-30934
2025,1,미국,북아메리카,84716
2025,1,몽골,아시아,129666
2025,1,피지,오세아니아,73950
2025,1,호주,오세아니아,5573
2025,1,터키,유럽,74867
2025,1,포르투갈,유럽,56090
2025,1,팔라우,오세아니아,43025
2025,1,프랑스,유럽,24665
2025,1,괌,오세아니아,608852
2025,1,그리스,유럽,36588
2025,1,모로코,아프리카,40883
2025,1,몰타,유럽,53614
2025,1,라오스,아시아,157134
2025,1,러시아,아시아,135824
2025,1,말레이시아,아시아,4565
2025,2,일본,아시아,49537
2025,2,대만,아시아,169767
2025,2,뉴질랜드,오세아니아,4747
2025,2,중국,아시아,47754
2025,2,필리핀,아시아,40752
2025,2,베트남,아시아,75258
2025,2,싱가포르,아시아,61441
2025,2,볼리비아,아프리카,-16147
2025,2,브라질,남아메리카,-30297
2025,2,태국,아시아,47754
2025,2,스위스,유럽,71870
2025,2,스페인,유럽,32992
2025,2,벨기에,유럽,2652
2025,2,캄보디아,아시아,-31839
2025,2,카타르,아시아,-43497
2025,2,캐나다,북아메리카,-1172
2025,2,조지아,유럽,47754
2025,2,피지,오세아니아,5755
2025,2,호주,오세아니아,-14229
2025,2,네팔,아시아,-55974
2025,2,터키,유럽,13934
2025,2,포르투갈,유럽,5754
2025,2,팔라우,오세아니아,3284
2025,2,프랑스,유럽,-12490
2025,2,콜롬비아,남아메리카,-16147
2025,2,쿠바,남아메리카,-26911
2025,2,인도네시아,아시아,61107
2025,2,인도,아시아,-9225
2025,2,미국,북아메리카,40752
2025,2,탄자니아,아프리카,-9956
2025,2,몽골,아시아,81016
2025,2,체코,유럽,-14229
2025,2,케냐,아프리카,-26038
2025,2,이집트,아프리카,-942
2025,2,이탈리아,유럽,5755
2025,2,오스트리아,유럽,-14229
2025,2,영국,유럽,-14229
2025,2,에스토니아,유럽,-28758
2025,2,아랍에미리트,아시아,4747
2025,2,이스라엘,아시아,3284
2025,2,요르단,아시아,-55974
2025,2,괌,오세아니아,222132
2025,2,아르헨티나,남아메리카,4747
2025,2,모로코,아프리카,2652
2025,2,그리스,유럽,-8028
2025,2,몰타,유럽,4747
2025,2,라오스,아시아,109206
2025,2,러시아,아시아,82708
2025,2,말레이시아,아시아,-16147
2025,3,일본,아시아,49537
2025,3,대만,아시아,166717
2025,3,뉴질랜드,오세아니아,4747
2025,3,중국,아시아,47754
2025,3,필리핀,아시아,40752
2025,3,베트남,아시아,75258
2025,3,싱가포르,아시아,61441
2025,3,볼리비아,아프리카,-16147
2025,3,브라질,남아메리카,-30297
2025,3,태국,아시아,47754
2025,3,스위스,유럽,71870
2025,3,스페인,유럽,32992
2025,3,벨기에,유럽,2652
2025,3,캄보디아,아시아,-31839
2025,3,카타르,아시아,-43497
2025,3,캐나다,북아메리카,-1172
2025,3,조지아,유럽,47754
2025,3,피지,오세아니아,5755
2025,3,호주,오세아니아,-14229
2025,3,네팔,아시아,-55974
2025,3,터키,유럽,13934
2025,3,포르투갈,유럽,5754
2025,3,팔라우,오세아니아,3284
2025,3,프랑스,유럽,-12490
2025,3,콜롬비아,남아메리카,-16147
2025,3,쿠바,남아메리카,-26911
2025,3,인도네시아,아시아,61107
2025,3,인도,아시아,-9225
2025,3,미국,북아메리카,40752
2025,3,탄자니아,아프리카,-9956
2025,3,몽골,아시아,81016
2025,3,체코,유럽,-14229
2025,3,케냐,아프리카,-26038
2025,3,이집트,아프리카,-942
2025,3,이탈리아,유럽,5755
2025,3,오스트리아,유럽,-14229
2025,3,영국,유럽,-14229
2025,3,에스토니아,유럽,-28758
2025,3,아랍에미리트,아시아,4747
2025,3,이스라엘,아시아,3284
2025,3,요르단,아시아,-55974
2025,3,괌,오세아니아,219421
2025,3,아르헨티나,남아메리카,4747
2025,3,모로코,아프리카,2652
2025,3,그리스,유럽,-8028
2025,3,몰타,유럽,4747
2025,3,라오스,아시아,106156
2025,3,러시아,아시아,82708
2025,3,말레이시아,아시아,-16147
2025,4,일본,아시아,47754
2025,4,대만,아시아,151150
2025,4,뉴질랜드,오세아니아,5805
2025,4,중국,아시아,47754
2025,4,베트남,아시아,71870
2025,4,싱가포르,아시아,61441
2025,4,필리핀,아시아,22522
2025,4,볼리비아,아프리카,-16147
2025,4,브라질,남아메리카,-30297
2025,4,스위스,유럽,63089
2025,4,스페인,유럽,14762
2025,4,벨기에,유럽,-2729
2025,4,태국,아시아,30003
2025,4,캄보디아,아시아,-31839
2025,4,카타르,아시아,-43497
2025,4,캐나다,북아메리카,-9479
2025,4,조지아,유럽,47754
2025,4,터키,유럽,13934
2025,4,피지,오세아니아,5805
2025,4,포르투갈,유럽,5805
2025,4,팔라우,오세아니아,2652
2025,4,프랑스,유럽,-14229
2025,4,호주,오세아니아,-14946
2025,4,네팔,아시아,-55974
2025,4,인도네시아,아시아,61107
2025,4,인도,아시아,-12490
2025,4,미국,북아메리카,22522
2025,4,탄자니아,아프리카,-14229
2025,4,몽골,아시아,75258
2025,4,체코,유럽,-14229
2025,4,케냐,아프리카,-26038
2025,4,이집트,아프리카,-8028
2025,4,이탈리아,유럽,5805
2025,4,오스트리아,유럽,-14229
2025,4,영국,유럽,-14946
2025,4,에스토니아,유럽,-28758
2025,4,콜롬비아,남아메리카,-16147
2025,4,쿠바,남아메리카,-26911
2025,4,아랍에미리트,아시아,5805
2025,4,이스라엘,아시아,2652
2025,4,요르단,아시아,-55974
2025,4,괌,오세아니아,219421
2025,4,아르헨티나,남아메리카,5754
2025,4,모로코,아프리카,-942
2025,4,그리스,유럽,-10210
2025,4,몰타,유럽,5805
2025,4,라오스,아시아,92905
2025,4,러시아,아시아,82708
2025,4,말레이시아,아시아,-16147
2025,5,일본,아시아,49980
2025,5,대만,아시아,151150
2025,5,뉴질랜드,오세아니아,14567
2025,5,베트남,아시아,63667
2025,5,싱가포르,아시아,59392
